Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,11.82,11.99,11.80,11.83,2000600,11.73
2011-12-29,11.65,11.86,11.63,11.81,3079700,11.71
2011-12-28,11.93,11.95,11.63,11.64,2802000,11.54
2011-12-27,11.96,12.08,11.91,11.93,1966300,11.82
2011-12-23,12.07,12.21,12.01,12.19,1765600,12.08
2011-12-22,11.80,12.12,11.75,12.10,4464600,11.99
2011-12-21,11.78,11.78,11.54,11.68,2892100,11.58
2011-12-20,11.57,11.85,11.57,11.81,5362100,11.71
2011-12-19,11.71,11.74,11.33,11.38,5084500,11.28
2011-12-16,11.61,11.68,11.40,11.45,2881100,11.35
2011-12-15,11.75,11.78,11.60,11.63,3055400,11.53
2011-12-14,11.59,11.66,11.46,11.52,3712500,11.42
2011-12-13,11.87,12.01,11.46,11.59,3643400,11.49
2011-12-12,12.08,12.13,11.88,11.98,3217400,11.87
2011-12-09,12.15,12.44,12.15,12.38,3155600,12.27
2011-12-08,12.32,12.33,11.81,11.87,4121900,11.76
2011-12-07,12.13,12.56,12.02,12.49,5371700,12.38
2011-12-06,12.36,12.48,12.29,12.37,3770500,12.26
2011-12-05,12.54,12.55,12.24,12.32,3807500,12.21
2011-12-02,12.47,12.50,12.22,12.24,3961800,12.13
2011-12-01,12.19,12.26,11.96,12.09,4693600,11.98
2011-11-30,12.08,12.47,12.00,12.47,9697000,12.36
2011-11-29,11.52,11.69,11.44,11.48,4787000,11.38
2011-11-28,11.51,11.53,11.29,11.40,4846500,11.30
2011-11-25,10.89,11.02,10.71,10.72,4340100,10.63
2011-11-23,10.89,10.93,10.60,10.64,2720500,10.55
2011-11-22,11.04,11.09,10.87,10.89,4226200,10.79
2011-11-21,11.16,11.25,11.07,11.15,5055100,11.05
2011-11-18,11.48,11.58,11.39,11.50,6576200,11.40
2011-11-17,11.57,11.63,11.15,11.21,7133600,11.11
2011-11-16,11.68,11.85,11.50,11.51,5879700,11.41
2011-11-15,11.73,11.84,11.52,11.70,5613100,11.60
2011-11-14,12.13,12.20,11.82,11.90,3199100,11.79
2011-11-11,12.09,12.34,12.06,12.23,2156800,12.12
2011-11-10,12.05,12.09,11.73,11.87,3515300,11.76
2011-11-09,11.99,12.08,11.67,11.70,5010100,11.60
2011-11-08,12.50,12.80,12.40,12.75,5304500,12.64
2011-11-07,12.37,12.46,12.14,12.42,2969000,12.31
2011-11-04,12.25,12.49,12.07,12.45,6245200,12.34
2011-11-03,12.43,12.63,12.09,12.59,5463600,12.48
2011-11-02,12.32,12.43,12.02,12.32,6452700,12.21
2011-11-01,11.83,12.32,11.79,12.07,6178300,11.96
2011-10-31,13.28,13.30,12.60,12.62,5322000,12.51
2011-10-28,13.81,13.93,13.68,13.84,5191600,13.72
2011-10-27,13.93,14.21,13.60,14.04,9138000,13.92
2011-10-26,12.81,12.84,12.32,12.66,7963000,12.55
2011-10-25,12.80,12.83,12.50,12.57,7980300,12.46
2011-10-24,12.41,12.68,12.40,12.59,2960900,12.48
2011-10-21,12.32,12.48,12.27,12.45,3394000,12.34
2011-10-20,11.98,12.12,11.69,11.99,6035200,11.88
